timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-07-12 18:52:15.995776	[0.055276412576437006, 0.09797803258895875, 1.231]	[-0.23559667179733515, 0.14096913166840877, 1.822]	[-0.041079338137060405, 0.2432064539194107, 1.22]
2024-07-12 18:52:16.231299	[0.0562085543051362, 0.1016100602547328, 1.163]	[-0.24177315744571387, 0.1463483983278274, 1.815]	[-0.0417867160141468, 0.24255134910345078, 1.222]
2024-07-12 18:52:16.387269	[0.06625361076369886, 0.19005135941505433, 1.647]	[-0.2415318319424987, 0.14168155598640447, 1.812]	[-0.04177265563979745, 0.23682104289531708, 1.22]
2024-07-12 18:52:16.605729	[0.07320032635331154, 0.18446258473396307, 1.572]	[-0.2342426562309265, 0.1400926771759987, 1.815]	[-0.04233093281183392, 0.23313165414333345, 1.221]
2024-07-12 18:52:16.760915	[0.07201596839725974, 0.18252375721931463, 1.578]	[-0.2311180149167776, 0.14776073737939205, 1.822]	[-0.04239952311571688, 0.23188883668184282, 1.221]
2024-07-12 18:52:16.930231	[0.06913202936947346, 0.18766385678450273, 1.562]	[-0.23506226314790546, 0.15967563122510903, 1.821]	[-0.04245446898043156, 0.23294006466865538, 1.22]
2024-07-12 18:52:17.148476	[0.0697836688645184, 0.18835749453306191, 1.539]	[-0.23578360435366633, 0.16388013664881382, 1.816]	[-0.042925556749105455, 0.2333555006980896, 1.22]
2024-07-12 18:52:17.303603	[0.06968409269303083, 0.18939572985966996, 1.502]	[-0.23885688802599905, 0.16092727899551396, 1.821]	[-0.04247048277407885, 0.23701738059520722, 1.22]
2024-07-12 18:52:17.473115	[0.06644019786268474, 0.20287561029195783, 1.395]	[-0.23855998868867753, 0.1390371750394504, 1.823]	[-0.04283503440767527, 0.2433796136379242, 1.222]
2024-07-12 18:52:17.691726	[0.06661808502674106, 0.18642663669586182, 1.426]	[-0.23698065794259307, 0.12549583570162448, 1.813]	[-0.042743862569332124, 0.23767151236534118, 1.22]
2024-07-12 18:52:17.905978	[0.06863114252686504, 0.18795575380325316, 1.512]	[-0.23427864366956053, 0.1151723385055859, 1.811]	[-0.0430242982506752, 0.2380472445487976, 1.22]
